               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.053281,            0.041781,                   0,             0.86265,             0.57778,             0.66267,             0.28073,            0.056218,            0.032502,                   0,           0.0093961,           0.0093961,           0.0093961
                  63,            0.049609,            0.048301,                   0,             0.83873,             0.62222,             0.74738,             0.32125,            0.051954,            0.030339,                   0,           0.0093862,           0.0093862,           0.0093862
                  64,            0.050331,             0.05441,                   0,             0.67905,             0.71111,             0.73831,             0.32172,            0.051575,            0.029246,                   0,           0.0093763,           0.0093763,           0.0093763
                  65,            0.049569,            0.044256,                   0,             0.72632,             0.61926,             0.69056,             0.30644,            0.051574,            0.029908,                   0,           0.0093664,           0.0093664,           0.0093664
                  66,            0.049566,            0.058115,                   0,             0.73515,             0.74444,             0.78954,             0.36506,            0.049552,            0.029117,                   0,           0.0093565,           0.0093565,           0.0093565
                  67,            0.048868,            0.043172,                   0,             0.86585,              0.7172,             0.83877,              0.3669,            0.045604,              0.0306,                   0,           0.0093466,           0.0093466,           0.0093466
                  68,            0.049742,            0.049706,                   0,             0.87633,             0.64444,             0.79442,             0.36823,            0.047844,            0.029333,                   0,           0.0093367,           0.0093367,           0.0093367
                  69,            0.057222,            0.039212,                   0,             0.74542,             0.77778,             0.80999,             0.31903,            0.049214,            0.029201,                   0,           0.0093268,           0.0093268,           0.0093268
                  70,            0.048703,            0.040946,                   0,             0.83007,             0.74444,             0.82369,             0.39416,            0.045828,            0.027784,                   0,           0.0093169,           0.0093169,           0.0093169
                  71,            0.046913,            0.069824,                   0,             0.77696,             0.73541,             0.79823,             0.33647,            0.047157,             0.02858,                   0,            0.009307,            0.009307,            0.009307
                  72,            0.046294,            0.040242,                   0,              0.8364,             0.79532,             0.81735,             0.34825,            0.048075,            0.028772,                   0,           0.0092971,           0.0092971,           0.0092971
                  73,            0.050302,            0.043719,                   0,             0.91578,             0.72497,                0.84,             0.36162,            0.044449,            0.028145,                   0,           0.0092872,           0.0092872,           0.0092872
                  74,            0.047463,            0.036392,                   0,             0.89932,             0.75556,             0.84772,               0.401,            0.044017,            0.028658,                   0,           0.0092773,           0.0092773,           0.0092773
                  75,            0.046663,            0.041418,                   0,             0.73651,                 0.7,             0.75497,             0.33506,            0.046281,            0.030793,                   0,           0.0092674,           0.0092674,           0.0092674
                  76,            0.046514,            0.049608,                   0,             0.78814,              0.6614,             0.75187,             0.30786,            0.050421,            0.029755,                   0,           0.0092575,           0.0092575,           0.0092575
                  77,             0.04874,            0.048956,                   0,             0.78447,             0.76839,             0.82761,             0.39946,            0.043215,            0.029515,                   0,           0.0092476,           0.0092476,           0.0092476
                  78,            0.042702,            0.047877,                   0,             0.83951,                 0.7,             0.80677,             0.34989,             0.04594,             0.02928,                   0,           0.0092377,           0.0092377,           0.0092377
                  79,            0.045059,            0.047753,                   0,              0.7688,             0.75556,             0.79983,             0.38259,            0.049489,            0.029378,                   0,           0.0092278,           0.0092278,           0.0092278
                  80,            0.050584,            0.044778,                   0,             0.86603,             0.67778,             0.79495,             0.31791,            0.048245,            0.029227,                   0,           0.0092179,           0.0092179,           0.0092179
                  81,            0.050922,            0.037112,                   0,             0.80079,             0.71468,             0.79443,              0.3237,            0.050532,            0.028813,                   0,            0.009208,            0.009208,            0.009208
                  82,            0.052014,            0.038848,                   0,             0.84769,             0.73333,             0.81187,             0.34451,            0.045556,            0.028983,                   0,           0.0091981,           0.0091981,           0.0091981
                  83,            0.042056,            0.053456,                   0,             0.73393,             0.68889,             0.71899,             0.29318,            0.048968,            0.030028,                   0,           0.0091882,           0.0091882,           0.0091882
                  84,            0.045515,            0.040335,                   0,             0.75643,             0.58664,             0.66375,             0.24958,            0.053736,            0.030115,                   0,           0.0091783,           0.0091783,           0.0091783
                  85,             0.04981,            0.041749,                   0,              0.8136,             0.62222,             0.72606,             0.30642,            0.050948,              0.0303,                   0,           0.0091684,           0.0091684,           0.0091684
                  86,            0.043535,            0.042069,                   0,             0.79309,             0.71111,             0.79051,             0.33529,            0.050435,            0.029409,                   0,           0.0091585,           0.0091585,           0.0091585
                  87,            0.042635,            0.046323,                   0,             0.80662,             0.74158,             0.77613,             0.29134,             0.05459,            0.030595,                   0,           0.0091486,           0.0091486,           0.0091486
                  88,            0.046618,            0.042686,                   0,             0.83286,             0.72222,             0.80174,             0.39445,            0.050673,            0.027544,                   0,           0.0091387,           0.0091387,           0.0091387
                  89,            0.042559,            0.038929,                   0,             0.83332,             0.72217,             0.78909,              0.3065,            0.051176,            0.031535,                   0,           0.0091288,           0.0091288,           0.0091288
                  90,            0.045282,            0.051089,                   0,             0.78856,              0.7045,             0.74745,             0.37312,            0.048475,            0.029412,                   0,           0.0091189,           0.0091189,           0.0091189
                  91,            0.040177,            0.045772,                   0,             0.76335,             0.72222,             0.76896,              0.3297,            0.052545,            0.028804,                   0,            0.009109,            0.009109,            0.009109
                  92,            0.047039,            0.041929,                   0,             0.63203,             0.63333,             0.65799,             0.26138,             0.05674,            0.031575,                   0,           0.0090991,           0.0090991,           0.0090991
                  93,             0.05018,            0.049932,                   0,             0.71509,             0.72222,             0.74131,             0.31816,            0.051055,            0.030848,                   0,           0.0090892,           0.0090892,           0.0090892
                  94,            0.042575,            0.038333,                   0,             0.83926,                 0.7,              0.7753,             0.36988,            0.049652,            0.029101,                   0,           0.0090793,           0.0090793,           0.0090793
                  95,            0.042641,            0.038051,                   0,             0.79675,                 0.7,             0.75296,             0.30493,            0.051556,            0.028888,                   0,           0.0090694,           0.0090694,           0.0090694
                  96,            0.048936,            0.039199,                   0,             0.80619,             0.73952,             0.82286,              0.4291,            0.046244,            0.028149,                   0,           0.0090595,           0.0090595,           0.0090595
                  97,            0.048403,             0.04596,                   0,             0.66829,             0.68889,             0.67789,             0.26291,            0.050662,            0.030403,                   0,           0.0090496,           0.0090496,           0.0090496
                  98,            0.047841,            0.038643,                   0,             0.90769,             0.71111,             0.82469,             0.35112,            0.048804,            0.029327,                   0,           0.0090397,           0.0090397,           0.0090397
                  99,            0.041721,            0.041864,                   0,              0.8949,             0.84444,             0.87079,             0.40176,            0.043633,             0.02971,                   0,           0.0090298,           0.0090298,           0.0090298
                 100,            0.040908,            0.047084,                   0,             0.84323,             0.77696,             0.81788,             0.36682,            0.046128,            0.029512,                   0,           0.0090199,           0.0090199,           0.0090199
                 101,            0.045177,             0.04456,                   0,             0.86804,             0.80398,             0.86966,             0.40738,            0.043309,            0.028811,                   0,             0.00901,             0.00901,             0.00901
                 102,            0.040613,            0.045428,                   0,             0.84964,             0.81625,             0.86269,             0.44064,            0.039443,            0.027222,                   0,           0.0090001,           0.0090001,           0.0090001
                 103,            0.036969,            0.041746,                   0,               0.833,             0.73333,             0.80589,             0.40051,            0.043672,             0.02956,                   0,           0.0089902,           0.0089902,           0.0089902
                 104,            0.046655,            0.051845,                   0,             0.85587,             0.72579,             0.85143,             0.33626,            0.047241,             0.03011,                   0,           0.0089803,           0.0089803,           0.0089803
                 105,             0.03855,            0.038893,                   0,             0.83066,             0.81756,             0.85168,             0.37674,            0.043019,            0.028292,                   0,           0.0089704,           0.0089704,           0.0089704
                 106,            0.043285,            0.054071,                   0,             0.85754,             0.83333,             0.85084,             0.38894,             0.04237,            0.029488,                   0,           0.0089605,           0.0089605,           0.0089605
                 107,            0.045932,            0.042714,                   0,             0.78284,             0.74444,             0.76998,             0.33331,            0.047391,            0.031117,                   0,           0.0089506,           0.0089506,           0.0089506
                 108,            0.042886,            0.043234,                   0,             0.92518,             0.68889,             0.82307,             0.37062,            0.044726,            0.030203,                   0,           0.0089407,           0.0089407,           0.0089407
                 109,            0.048223,            0.038594,                   0,             0.91813,             0.72222,             0.83784,             0.41236,            0.041792,            0.028948,                   0,           0.0089308,           0.0089308,           0.0089308
                 110,            0.044142,             0.05649,                   0,              0.8622,             0.73333,             0.83229,              0.4257,            0.042131,            0.028962,                   0,           0.0089209,           0.0089209,           0.0089209
                 111,            0.038666,            0.041032,                   0,              0.8565,             0.76667,              0.8417,             0.39597,            0.045469,            0.029797,                   0,            0.008911,            0.008911,            0.008911
                 112,            0.037892,            0.039717,                   0,              0.8605,             0.75394,             0.82969,             0.41511,            0.043317,            0.029254,                   0,           0.0089011,           0.0089011,           0.0089011
                 113,            0.041375,            0.038613,                   0,             0.86604,             0.71839,             0.86039,             0.43904,            0.040868,            0.028452,                   0,           0.0088912,           0.0088912,           0.0088912
                 114,            0.041387,            0.042585,                   0,             0.90509,             0.72222,             0.86004,             0.44564,            0.042781,             0.02806,                   0,           0.0088813,           0.0088813,           0.0088813
                 115,            0.036415,            0.039247,                   0,             0.80679,             0.83333,             0.88058,             0.43354,            0.041975,            0.028951,                   0,           0.0088714,           0.0088714,           0.0088714
                 116,            0.038041,            0.040443,                   0,             0.88972,             0.71715,             0.81222,             0.38476,            0.047613,            0.028447,                   0,           0.0088615,           0.0088615,           0.0088615
                 117,            0.044256,            0.034787,                   0,             0.86502,             0.81111,               0.851,             0.49403,            0.040747,            0.029768,                   0,           0.0088516,           0.0088516,           0.0088516
                 118,            0.040706,            0.041147,                   0,             0.89489,             0.75678,              0.8352,             0.45776,            0.041205,            0.030561,                   0,           0.0088417,           0.0088417,           0.0088417
                 119,            0.034545,            0.034121,                   0,             0.86607,             0.71854,             0.78486,                0.39,            0.048358,            0.029736,                   0,           0.0088318,           0.0088318,           0.0088318
                 120,            0.041887,            0.041336,                   0,              0.8927,             0.81111,             0.88446,             0.40807,            0.046298,            0.030436,                   0,           0.0088219,           0.0088219,           0.0088219
                 121,            0.042578,            0.038741,                   0,             0.87889,              0.7257,             0.81785,             0.40941,            0.045587,            0.028784,                   0,            0.008812,            0.008812,            0.008812
                 122,            0.038447,            0.034252,                   0,             0.85375,             0.84444,             0.87701,             0.45672,            0.040953,            0.028422,                   0,           0.0088021,           0.0088021,           0.0088021
                 123,            0.039912,            0.036096,                   0,             0.82604,             0.84417,             0.85722,              0.4278,            0.043077,            0.029119,                   0,           0.0087922,           0.0087922,           0.0087922
                 124,            0.037492,            0.038685,                   0,             0.76999,             0.82222,             0.81738,             0.45436,            0.042396,            0.028758,                   0,           0.0087823,           0.0087823,           0.0087823
                 125,             0.04093,            0.035639,                   0,             0.79033,                 0.8,             0.80676,             0.32139,            0.043434,            0.029715,                   0,           0.0087724,           0.0087724,           0.0087724
                 126,            0.043746,            0.037296,                   0,             0.85316,             0.83929,             0.87769,              0.3933,            0.041732,            0.028779,                   0,           0.0087625,           0.0087625,           0.0087625
                 127,            0.044176,             0.03395,                   0,              0.7722,             0.75333,              0.7655,             0.28979,            0.051083,            0.033456,                   0,           0.0087526,           0.0087526,           0.0087526
                 128,            0.044117,            0.034859,                   0,             0.79771,             0.68889,             0.72436,             0.36538,            0.049567,            0.034165,                   0,           0.0087427,           0.0087427,           0.0087427
                 129,            0.040003,            0.042554,                   0,             0.80193,             0.78889,             0.83233,             0.39054,            0.043475,            0.030118,                   0,           0.0087328,           0.0087328,           0.0087328
                 130,            0.042171,              0.0388,                   0,             0.84811,             0.80658,             0.83889,             0.43495,            0.041909,            0.029738,                   0,           0.0087229,           0.0087229,           0.0087229
                 131,            0.044307,            0.044139,                   0,             0.81835,             0.80089,             0.82624,             0.40829,            0.041576,            0.029654,                   0,            0.008713,            0.008713,            0.008713
                 132,            0.040443,            0.041766,                   0,             0.79399,             0.81367,              0.8252,             0.34262,            0.044508,            0.030779,                   0,           0.0087031,           0.0087031,           0.0087031
                 133,            0.043765,            0.043551,                   0,             0.83701,             0.83333,             0.85268,             0.39921,            0.042635,            0.030208,                   0,           0.0086932,           0.0086932,           0.0086932
                 134,            0.036762,            0.040955,                   0,             0.85396,                 0.8,             0.86532,             0.46027,            0.040315,            0.029285,                   0,           0.0086833,           0.0086833,           0.0086833
                 135,            0.038932,            0.041247,                   0,              0.8547,             0.78889,             0.88072,             0.42518,            0.042044,            0.029921,                   0,           0.0086734,           0.0086734,           0.0086734
                 136,            0.042683,            0.036449,                   0,             0.84753,             0.77778,             0.85755,             0.41316,            0.043908,            0.028772,                   0,           0.0086635,           0.0086635,           0.0086635
                 137,            0.042218,            0.046298,                   0,             0.84108,             0.82326,             0.86601,             0.43711,            0.042179,            0.029842,                   0,           0.0086536,           0.0086536,           0.0086536
                 138,            0.038307,            0.049268,                   0,             0.85787,             0.80483,             0.87536,             0.43074,            0.041085,            0.029301,                   0,           0.0086437,           0.0086437,           0.0086437
                 139,            0.040513,            0.034039,                   0,             0.82514,             0.83892,             0.87727,             0.42514,             0.04229,            0.029752,                   0,           0.0086338,           0.0086338,           0.0086338
                 140,             0.03728,            0.039976,                   0,               0.858,             0.83333,             0.89876,             0.41217,            0.041423,            0.029952,                   0,           0.0086239,           0.0086239,           0.0086239
                 141,            0.044601,            0.037527,                   0,             0.93091,                 0.8,             0.88867,             0.43217,            0.043624,            0.029986,                   0,            0.008614,            0.008614,            0.008614
                 142,             0.03753,            0.040294,                   0,             0.92587,             0.81111,             0.87715,             0.46048,            0.041874,            0.029491,                   0,           0.0086041,           0.0086041,           0.0086041
                 143,            0.036474,            0.043515,                   0,             0.92415,             0.83333,              0.8713,             0.34891,            0.048853,             0.03305,                   0,           0.0085942,           0.0085942,           0.0085942
                 144,            0.040185,            0.034403,                   0,             0.86996,             0.74337,             0.80258,              0.3636,            0.048221,            0.033748,                   0,           0.0085843,           0.0085843,           0.0085843
                 145,            0.039453,            0.044039,                   0,             0.83954,             0.81391,             0.85403,             0.38826,            0.044791,            0.030706,                   0,           0.0085744,           0.0085744,           0.0085744
                 146,            0.038506,            0.049162,                   0,             0.88621,             0.77885,              0.8731,             0.44339,            0.042376,            0.028706,                   0,           0.0085645,           0.0085645,           0.0085645
                 147,             0.03556,            0.034444,                   0,             0.80416,                 0.9,             0.90824,             0.41053,             0.04118,            0.027818,                   0,           0.0085546,           0.0085546,           0.0085546
