               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.028995,            0.027334,                   0,             0.83112,             0.81111,             0.85044,             0.47563,            0.040202,            0.028959,                   0,           0.0088318,           0.0088318,           0.0088318
                 120,            0.035648,            0.033608,                   0,             0.82404,             0.83257,             0.84412,             0.38937,            0.042336,            0.029799,                   0,           0.0088219,           0.0088219,           0.0088219
                 121,            0.035071,            0.034963,                   0,             0.83662,             0.85346,             0.86929,             0.48882,            0.037648,            0.028498,                   0,            0.008812,            0.008812,            0.008812
                 122,            0.034314,            0.026016,                   0,             0.84766,             0.82222,              0.8877,             0.44192,            0.041245,            0.029813,                   0,           0.0088021,           0.0088021,           0.0088021
                 123,            0.031637,            0.028644,                   0,             0.89089,             0.78889,             0.88135,              0.4576,            0.037286,            0.030091,                   0,           0.0087922,           0.0087922,           0.0087922
                 124,            0.030906,            0.031577,                   0,               0.916,             0.77778,             0.85237,             0.42903,            0.040905,            0.029939,                   0,           0.0087823,           0.0087823,           0.0087823
                 125,            0.031859,            0.027392,                   0,             0.88298,                 0.8,             0.84895,             0.43982,            0.040986,            0.029878,                   0,           0.0087724,           0.0087724,           0.0087724
                 126,            0.034037,            0.031312,                   0,             0.91279,             0.81413,             0.84888,             0.49073,            0.039237,             0.02923,                   0,           0.0087625,           0.0087625,           0.0087625
                 127,            0.031043,            0.028829,                   0,             0.88325,              0.8406,             0.86237,             0.43101,            0.040589,            0.030971,                   0,           0.0087526,           0.0087526,           0.0087526
                 128,            0.036434,            0.029361,                   0,             0.84289,             0.83459,             0.83275,             0.44497,            0.039758,            0.029792,                   0,           0.0087427,           0.0087427,           0.0087427
                 129,            0.032708,            0.032809,                   0,             0.84722,             0.86667,              0.8656,             0.44926,            0.040907,            0.030988,                   0,           0.0087328,           0.0087328,           0.0087328
                 130,            0.033553,            0.030968,                   0,             0.86411,             0.72222,             0.79321,             0.43688,            0.042935,            0.032308,                   0,           0.0087229,           0.0087229,           0.0087229
                 131,            0.036386,            0.034788,                   0,             0.79583,             0.77778,             0.81126,             0.44092,            0.041491,            0.031353,                   0,            0.008713,            0.008713,            0.008713
                 132,             0.03466,            0.034053,                   0,             0.85579,                 0.8,             0.84331,             0.41486,            0.041529,            0.031628,                   0,           0.0087031,           0.0087031,           0.0087031
                 133,            0.038121,            0.038812,                   0,             0.82768,             0.74717,             0.80646,             0.44329,            0.039936,             0.03147,                   0,           0.0086932,           0.0086932,           0.0086932
                 134,            0.030323,            0.032496,                   0,             0.85551,             0.75556,             0.81433,             0.45446,            0.037767,             0.03144,                   0,           0.0086833,           0.0086833,           0.0086833
                 135,            0.031345,            0.034123,                   0,             0.92951,             0.73255,             0.83478,             0.42918,            0.039811,             0.03398,                   0,           0.0086734,           0.0086734,           0.0086734
                 136,            0.038042,            0.030316,                   0,             0.79183,             0.80302,             0.83431,             0.43021,            0.040607,            0.031751,                   0,           0.0086635,           0.0086635,           0.0086635
                 137,            0.033448,            0.039257,                   0,             0.92203,                 0.8,             0.86783,             0.45319,            0.038734,            0.030681,                   0,           0.0086536,           0.0086536,           0.0086536
                 138,            0.030631,             0.04215,                   0,              0.9135,             0.82136,             0.88489,             0.49183,            0.035947,            0.030632,                   0,           0.0086437,           0.0086437,           0.0086437
                 139,            0.032553,              0.0285,                   0,             0.89219,             0.82757,             0.88062,             0.47285,            0.038008,            0.030874,                   0,           0.0086338,           0.0086338,           0.0086338
                 140,            0.030585,            0.032386,                   0,             0.82861,              0.8595,             0.89051,             0.46831,            0.038516,            0.030876,                   0,           0.0086239,           0.0086239,           0.0086239
                 141,            0.033288,            0.029657,                   0,             0.83326,             0.83288,             0.85278,             0.46431,            0.038575,            0.030613,                   0,            0.008614,            0.008614,            0.008614
                 142,             0.03123,             0.03253,                   0,              0.8681,             0.80444,             0.87463,             0.49812,            0.037189,             0.02893,                   0,           0.0086041,           0.0086041,           0.0086041
                 143,            0.030373,            0.035638,                   0,             0.86671,             0.82222,             0.86484,             0.47523,            0.038208,            0.029072,                   0,           0.0085942,           0.0085942,           0.0085942
                 144,            0.031673,            0.027687,                   0,               0.839,             0.81111,             0.82161,             0.39015,             0.04363,            0.030444,                   0,           0.0085843,           0.0085843,           0.0085843
                 145,            0.037183,            0.037053,                   0,             0.87628,                 0.8,             0.85981,             0.46365,            0.040128,            0.028661,                   0,           0.0085744,           0.0085744,           0.0085744
                 146,             0.03129,            0.044586,                   0,             0.83862,             0.81111,             0.86206,              0.4908,            0.038987,            0.029817,                   0,           0.0085645,           0.0085645,           0.0085645
                 147,            0.029711,            0.029222,                   0,              0.9044,             0.84444,             0.89396,                0.48,            0.039688,            0.029394,                   0,           0.0085546,           0.0085546,           0.0085546
                 148,            0.028504,            0.031783,                   0,             0.82928,             0.81111,             0.83116,             0.44548,            0.041386,            0.029182,                   0,           0.0085447,           0.0085447,           0.0085447
